Incident Date,Response Incident Number (eResponse.03),Incident Crew Member Full Name,Signature EMS Primary Care Provider Full Name List (eOther.21 - eOther.20)
1/1/2024,E2400001,James Carter,Natalie Ross
1/18/2024,E2400043,James Carter,Natalie Ross
1/23/2024,E2400051,James Carter,Natalie Ross
1/27/2024,E2400064,James Carter,Natalie Ross
1/15/2024,E2400038,Sophia Chen,Natalie Ross
1/23/2024,E2400051,Carlos Gonzalez,Natalie Ross
1/1/2024,E2400002,Lee Kim,Natalie Ross
1/5/2024,E2400013,Mia Martinez,Natalie Ross
1/6/2024,E2400016,Mia Martinez,Natalie Ross
1/13/2024,E2400035,Mia Martinez,Natalie Ross
1/18/2024,E2400043,Mia Martinez,Natalie Ross
1/27/2024,E2400063,Mia Martinez,Natalie Ross
1/15/2024,E2400037,Maria Rodriguez,Natalie Ross
1/19/2024,E2400046,Maria Rodriguez,Natalie Ross
1/19/2024,E2400047,Maria Rodriguez,Natalie Ross
1/26/2024,E2400061,Kim Nguyen,Natalie Ross
1/1/2024,E2400002,John Smith,Natalie Ross
1/1/2024,E2400001,John Smith,Natalie Ross
1/5/2024,E2400013,John Smith,Natalie Ross
1/7/2024,E2400017,John Smith,Natalie Ross
1/8/2024,E2400020,John Smith,Natalie Ross
1/10/2024,E2400026,Michael Johnson,Natalie Ross
1/10/2024,E2400024,Michael Johnson,Natalie Ross
1/11/2024,E2400027,Michael Johnson,Natalie Ross
1/15/2024,E2400038,Michael Johnson,Natalie Ross
1/15/2024,E2400037,Rachel Evans,Natalie Ross
1/18/2024,E2400043,Rachel Evans,Natalie Ross
1/22/2024,E2400050,Rachel Evans,Natalie Ross
1/24/2024,E2400053,Matthew Lee,Natalie Ross
1/24/2024,E2400054,Matthew Lee,Natalie Ross
1/25/2024,E2400057,Matthew Lee,Natalie Ross
1/10/2024,E2400025,Dylan Scott,Natalie Ross
1/14/2024,E2400036,Dylan Scott,Natalie Ross
1/24/2024,E2400053,Dylan Scott,Natalie Ross
1/11/2024,E2400030,Michael Johnson,Natalie Ross
1/24/2024,E2400053,Olivia Garcia,Natalie Ross
1/4/2024,E2400011,Sophia Chen,Natalie Ross
1/11/2024,E2400027,Sophia Chen,Natalie Ross
1/9/2024,E2400023,Sophia Chen,Natalie Ross
1/15/2024,E2400039,William Moore,Natalie Ross
1/19/2024,E2400044,William Moore,Natalie Ross
1/22/2024,E2400050,Benjamin White,Natalie Ross
1/25/2024,E2400057,Benjamin White,Natalie Ross
1/22/2024,E2400050,Natalie Ross,Natalie Ross
1/10/2024,E2400025,Alex Clark,Natalie Ross
1/12/2024,E2400032,Ethan Davis,Natalie Ross
1/23/2024,E2400051,Ethan Davis,Natalie Ross
1/2/2024,E2400007,Emily Harper,Natalie Ross
1/12/2024,E2400032,Emily Harper,Natalie Ross
1/19/2024,E2400044,Emily Harper,Natalie Ross
1/26/2024,E2400060,Christopher Johnson,Natalie Ross
1/27/2024,E2400062,Christopher Johnson,Natalie Ross
1/27/2024,E2400065,Christopher Johnson,Natalie Ross
1/2/2024,E2400007,Lily Baker,Natalie Ross
1/3/2024,E2400010,Lily Baker,Natalie Ross
1/4/2024,E2400012,Lily Baker,Natalie Ross
1/7/2024,E2400018,Dylan Scott,Natalie Ross
1/9/2024,E2400023,Dylan Scott,Natalie Ross
1/12/2024,E2400032,Dylan Scott,Natalie Ross
1/11/2024,E2400030,Rajesh Kumar,Natalie Ross
1/15/2024,E2400038,Rajesh Kumar,Natalie Ross
1/3/2024,E2400009,Rajesh Kumar,Natalie Ross
1/15/2024,E2400037,Rajesh Kumar,Natalie Ross
1/28/2024,E2400068,Rajesh Kumar,Natalie Ross
1/7/2024,E2400018,Rajesh Kumar,Natalie Ross
1/23/2024,E2400052,Rajesh Kumar,Natalie Ross
1/27/2024,E2400064,Sarah Taylor,Natalie Ross
1/14/2024,E2400036,Sarah Taylor,Natalie Ross
